epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9733,1.98054,4.23752,2.09763,0.00314,0.94286,0.22891,0.16082,2.21634,3.98664,2.51094,0.000648148,0.000648148,0.000648148
2,101.78,1.12343,2.69941,1.27275,0.93882,0.877,0.90121,0.67203,1.07863,1.86391,1.11561,0.00118465,0.00118465,0.00118465
3,151.107,0.73423,1.95589,0.99353,0.99475,0.91429,0.94114,0.85475,0.63269,1.33702,0.87422,0.00158915,0.00158915,0.00158915
4,197.54,0.6812,1.59319,0.93903,0.99848,0.94286,0.96938,0.8385,0.62505,1.15026,0.84428,0.001406,0.001406,0.001406
5,243.592,0.62907,1.42361,0.9157,0.99884,0.94286,0.94588,0.88373,0.52077,1.0376,0.81825,0.001208,0.001208,0.001208
6,293.279,0.56805,1.27603,0.8822,0.9972,0.94286,0.98223,0.89146,0.51515,0.91621,0.81972,0.00101,0.00101,0.00101
7,347.303,0.51067,1.19549,0.87124,0.99663,0.94286,0.99128,0.91491,0.53916,0.8536,0.80958,0.000812,0.000812,0.000812
8,396.271,0.49539,1.10295,0.85813,0.99756,0.94286,0.9923,0.92242,0.41503,0.77301,0.777,0.000614,0.000614,0.000614
9,444.739,0.46513,1.0396,0.85526,0.9911,1,0.995,0.9375,0.39839,0.74996,0.76758,0.000416,0.000416,0.000416
10,493.992,0.4499,1.02154,0.83285,1,0.99536,0.995,0.93974,0.41225,0.7429,0.7687,0.000218,0.000218,0.000218
